               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.037527,            0.037725,           0.0056305,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.036527,            0.038119,           0.0057765,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.036863,            0.034655,           0.0056182,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.037098,            0.038695,           0.0052332,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 101,             0.03518,            0.040597,           0.0054468,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.033319,            0.039322,           0.0057909,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.032694,            0.036111,            0.006194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.033109,            0.035789,           0.0049821,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.036802,            0.040084,           0.0057826,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006568,            0.006568,            0.006568
                 106,             0.03523,            0.037006,           0.0058313,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.034453,            0.035561,           0.0057568,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.033507,            0.038431,           0.0052229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.033757,            0.035287,           0.0056048,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.034032,            0.039393,           0.0055401,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.03319,            0.038899,            0.004952,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.035309,             0.03411,           0.0048138,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.036655,            0.040679,           0.0058552,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.033244,            0.038579,           0.0054621,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.032273,            0.035839,           0.0059396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.032566,            0.038601,           0.0057594,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.033157,            0.035506,           0.0046131,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.032707,            0.037756,            0.005194,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                 119,             0.03415,            0.037323,           0.0049223,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.033682,            0.036715,           0.0054368,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.034297,             0.03836,           0.0058267,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.031273,            0.037919,           0.0049837,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.033342,            0.036709,           0.0048513,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.032387,            0.037747,           0.0048778,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.034362,            0.037385,           0.0051364,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.034739,            0.035019,           0.0052686,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.033171,            0.035066,           0.0051324,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.032244,            0.036902,           0.0049563,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.030051,            0.033379,            0.005385,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.030041,            0.035436,           0.0047229,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.034219,            0.034067,           0.0046799,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.03347,             0.03645,           0.0047035,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005677,            0.005677,            0.005677
                 133,             0.03324,            0.035372,           0.0053091,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.03195,             0.03567,            0.004727,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.031147,               0.035,           0.0049001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.032599,            0.030521,           0.0042378,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.033536,            0.032836,           0.0050735,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.031405,            0.035114,           0.0052832,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.005479,            0.005479,            0.005479
